symbol,scores.overall,Frequency
A,58.8676241185225,12
AAPL,59.9700477770166,1181
ACN,66.9567950923756,80
ADBE,63.22606182364671,76
AMZN,58.8311099386855,508
BMY,60.070173238959704,89
CAT,59.8319013380246,48
CELG,59.2760343972756,171
CL,61.776729500203885,70
CSCO,66.9305739720319,246
CVX,59.2208601464632,266
DAL,58.7140289390584,62
ECL,57.2321132997505,66
EMN,60.061837714476006,12
FCX,59.0168889266821,13
FLR,61.194666531157104,7
GIS,58.7091724861472,28
GM,58.043943277008296,64
GS,58.46266005042979,87
HSY,58.9916913102473,12
IBM,67.41810117658599,132
INTC,70.90411282555709,232
ITW,58.0479177715262,49
JNJ,59.9465837415749,833
KO,57.8131230660657,160
LLY,60.4326688927369,45
MRK,58.811715753395994,206
MSFT,68.5542802110343,948
MSI,58.126229209230786,14
MU,60.8340110594978,57
NKE,62.133934158368795,120
NTAP,61.3143108982656,7
ORCL,57.664734108453295,195
PEP,61.4929672561435,370
PG,61.9828911021501,396
PRU,57.5558852603992,35
QCOM,57.6089969773291,98
STT,59.303474377522704,29
SYMC,63.5509438708266,28
T,62.9029349501601,292
UPS,58.325634988167,97
VFC,57.401380312511606,16
VZ,58.5991710380303,171
